GENESIS-Tabelle: 12411-0002
Bevölkerung: Deutschland, Stichtag, Nationalität;;;
Fortschreibung des Bevölkerungsstandes;;;
Deutschland;;;
Bevölkerungsstand (Anzahl);;;
;Nationalität;Nationalität;Nationalität
;Deutsche;Ausländer;Insgesamt
31.12.1970;58263259;2737905;61001164
31.12.1971;58314646;3187857;61502503
31.12.1972;58255300;3554078;61809378
31.12.1973;58110017;3991352;62101369
31.12.1974;57940513;4050962;61991475
31.12.1975;57744140;3900484;61644624
31.12.1976;57589814;3852182;61441996
31.12.1977;57460519;3892226;61352745
31.12.1978;57315844;4005819;61321663
31.12.1979;57188694;4250648;61439342
31.12.1980;57091778;4566167;61657945
31.12.1981;56991569;4721120;61712689
31.12.1982;56874263;4671838;61546101
31.12.1983;56732513;4574156;61306669
31.12.1984;56643793;4405463;61049256
31.12.1985;56538856;4481618;61020474
31.12.1986;56478581;4661880;61140461
31.12.1987;56951607;4286472;61238079
31.12.1988;57091575;4623528;61715103
31.12.1989;57671874;5007161;62679035
31.12.1990;74170870;5582357;79753227
31.12.1991;74207834;6066730;80274564
31.12.1992;74305064;6669568;80974632
31.12.1993;74360617;6977476;81338093
31.12.1994;74420863;7117740;81538603
31.12.1995;74474720;7342779;81817499
31.12.1996;74520512;7491650;82012162
31.12.1997;74638378;7419001;82057379
31.12.1998;74728534;7308477;82037011
31.12.1999;74827364;7336111;82163475
31.12.2000;74991972;7267568;82259540
31.12.2001;75122046;7318263;82440309
31.12.2002;75188729;7347951;82536680
31.12.2003;75189851;7341820;82531671
31.12.2004;75212869;7287980;82500849
31.12.2005;75148846;7289149;82437995
31.12.2006;75058957;7255949;82314906
31.12.2007;74962442;7255395;82217837
31.12.2008;74816435;7185921;82002356
31.12.2009;74671338;7130919;81802257
31.12.2010;74552656;7198946;81751602
31.12.2011;73985506;6342394;80327900
31.12.2012;73880047;6643699;80523746
31.12.2013;73752227;7015236;80767463
31.12.2014;73657763;7539774;81197537
31.12.2015;73523726;8651958;82175684
31.12.2016;73301664;9219989;82521653
31.12.2017;73113483;9678868;82792351
31.12.2018;72929921;10089292;83019213
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 17:09:43
