GENESIS-Tabelle: 12521-0008
Ausländer: Deutschland, Stichtag, Geschlecht,;;;;
Aufenthaltstitel/Ausgewählte Aufenthaltstitel,;;;;
Ländergruppierungen/Staatsangehörigkeit;;;;
Ausländerstatistik;;;;
Deutschland;;;;
Ausländer (Anzahl);;;;
;;;männlich;weiblich
31.12.2018;Europa;Freizügigkeit nach EU-Recht;2649930;2203610
31.12.2018;Europa;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;2370;2050
31.12.2018;Europa;Unbefristeter Aufenthaltstitel;944635;945375
31.12.2018;Europa;Befristeter Aufenthaltstitel;280305;321655
31.12.2018;Europa;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;12765;17680
31.12.2018;Europa;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;63770;23235
31.12.2018;Europa;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;38155;41680
31.12.2018;Europa;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;123285;203015
31.12.2018;Europa;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;42330;36050
31.12.2018;Europa;Antrag auf einen Aufenthaltstitel gestellt;36715;32365
31.12.2018;Europa;Duldung;29875;26120
31.12.2018;Europa;Aufenthaltsgestattung;22025;16525
31.12.2018;Europa;Ohne Aufenthaltstitel, Duldung oder Gestattung;68985;54065
31.12.2018;EU-28 (seit 01.07.2013);Freizügigkeit nach EU-Recht;2621090;2164770
31.12.2018;EU-28 (seit 01.07.2013);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;10;5
31.12.2018;EU-28 (seit 01.07.2013);Unbefristeter Aufenthaltstitel;5;5
31.12.2018;EU-28 (seit 01.07.2013);Befristeter Aufenthaltstitel;55;140
31.12.2018;EU-28 (seit 01.07.2013);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EU-28 (seit 01.07.2013);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EU-28 (seit 01.07.2013);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;15;35
31.12.2018;EU-28 (seit 01.07.2013);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;30;95
31.12.2018;EU-28 (seit 01.07.2013);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;5;5
31.12.2018;EU-28 (seit 01.07.2013);Antrag auf einen Aufenthaltstitel gestellt;10;10
31.12.2018;EU-28 (seit 01.07.2013);Duldung;65;25
31.12.2018;EU-28 (seit 01.07.2013);Aufenthaltsgestattung;5;5
31.12.2018;EU-28 (seit 01.07.2013);Ohne Aufenthaltstitel, Duldung oder Gestattung;2600;955
31.12.2018;Drittstaaten zu EU-28 (seit 01.07.2013);Freizügigkeit nach EU-Recht;47825;63800
31.12.2018;Drittstaaten zu EU-28 (seit 01.07.2013);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5225;3865
31.12.2018;Drittstaaten zu EU-28 (seit 01.07.2013);Unbefristeter Aufenthaltstitel;1231035;1260760
31.12.2018;Drittstaaten zu EU-28 (seit 01.07.2013);Befristeter Aufenthaltstitel;1291760;1137940
31.12.2018;Drittstaaten zu EU-28 (seit 01.07.2013);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EU-28 (seit 01.07.2013);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
