GENESIS-Tabelle: 12613-0003
Gestorbene: Deutschland, Jahre, Geschlecht, Altersjahre;;;;;;
Statistik der Sterbef‰lle;;;;;;
Deutschland;;;;;;
Gestorbene (Anzahl);;;;;;
;;2014;2015;2016;2017;2018
m‰nnlich;unter 1 Jahr;1266;1297;1494;1418;1399
m‰nnlich;1-J‰hrige;80;108;114;109;107
m‰nnlich;2-J‰hrige;37;65;68;58;57
m‰nnlich;3-J‰hrige;58;44;37;37;51
m‰nnlich;4-J‰hrige;39;42;44;31;45
m‰nnlich;5-J‰hrige;26;30;46;33;33
m‰nnlich;6-J‰hrige;37;35;41;28;32
m‰nnlich;7-J‰hrige;32;27;33;25;38
m‰nnlich;8-J‰hrige;23;28;38;28;30
m‰nnlich;9-J‰hrige;36;24;28;24;38
m‰nnlich;10-J‰hrige;25;29;31;23;35
m‰nnlich;11-J‰hrige;37;31;32;28;27
m‰nnlich;12-J‰hrige;38;29;22;22;34
m‰nnlich;13-J‰hrige;38;31;42;32;36
m‰nnlich;14-J‰hrige;50;44;50;53;55
m‰nnlich;15-J‰hrige;58;67;59;57;75
m‰nnlich;16-J‰hrige;107;104;114;92;101
m‰nnlich;17-J‰hrige;123;124;131;112;111
m‰nnlich;18-J‰hrige;154;168;182;154;178
m‰nnlich;19-J‰hrige;188;181;185;194;174
m‰nnlich;20-J‰hrige;188;209;208;205;199
m‰nnlich;21-J‰hrige;206;227;179;187;210
m‰nnlich;22-J‰hrige;179;215;242;190;216
m‰nnlich;23-J‰hrige;256;213;209;190;197
m‰nnlich;24-J‰hrige;257;250;243;235;232
m‰nnlich;25-J‰hrige;276;261;242;218;222
m‰nnlich;26-J‰hrige;252;270;260;245;242
m‰nnlich;27-J‰hrige;278;304;288;235;256
m‰nnlich;28-J‰hrige;277;288;273;279;278
m‰nnlich;29-J‰hrige;267;340;304;301;283
m‰nnlich;30-J‰hrige;285;318;300;322;318
m‰nnlich;31-J‰hrige;351;377;347;350;310
m‰nnlich;32-J‰hrige;350;389;359;340;319
m‰nnlich;33-J‰hrige;367;392;357;417;394
m‰nnlich;34-J‰hrige;394;415;446;402;383
m‰nnlich;35-J‰hrige;424;468;466;417;402
m‰nnlich;36-J‰hrige;427;445;456;476;432
m‰nnlich;37-J‰hrige;403;490;483;541;500
m‰nnlich;38-J‰hrige;519;469;529;535;559
m‰nnlich;39-J‰hrige;480;523;551;525;584
m‰nnlich;40-J‰hrige;538;603;637;566;611
m‰nnlich;41-J‰hrige;622;665;619;608;698
m‰nnlich;42-J‰hrige;808;737;711;643;709
m‰nnlich;43-J‰hrige;976;909;772;732;736
m‰nnlich;44-J‰hrige;1062;1029;1037;878;833
m‰nnlich;45-J‰hrige;1335;1288;1164;1071;966
