GENESIS-Tabelle: 12613-0007
Durchschnittliches Sterbealter: Deutschland, Jahre,;;;
Geschlecht;;;
Statistik der Sterbefälle;;;
Deutschland;;;
Durchschnittliches Sterbealter (Jahre);;;
;männlich;weiblich;Insgesamt
1956;62,39;66,22;64,26
1957;62,58;66,55;64,51
1958;62,83;66,84;64,80
1959;62,98;67,09;65,00
1960;63,59;67,80;65,65
1961;63,39;67,83;65,57
1962;64,22;68,54;66,34
1963;64,51;68,89;66,66
1964;64,40;69,00;66,65
1965;65,24;69,74;67,47
1966;65,26;70,03;67,62
1967;65,54;70,40;67,96
1968;66,32;71,14;68,74
1969;66,18;71,11;68,65
1970;66,25;71,49;68,89
1971;66,43;71,80;69,16
1972;66,72;72,20;69,50
1973;67,18;72,61;69,93
1974;67,46;72,97;70,28
1975;67,72;73,34;70,61
1976;67,85;73,60;70,82
1977;67,88;73,78;70,91
1978;68,15;74,15;71,25
1979;68,29;74,42;71,48
1980;68,49;74,75;71,76
1981;68,74;75,08;72,07
1982;68,84;75,33;72,26
1983;69,15;75,71;72,62
1984;69,41;75,94;72,87
1985;69,72;76,36;73,26
1986;69,76;76,63;73,45
1987;69,70;76,79;73,49
1988;69,71;77,01;73,63
1989;69,87;77,33;73,89
1990;69,69;77,55;73,92
1991;69,58;77,68;73,93
1992;69,57;77,88;74,03
1993;69,83;78,16;74,30
1994;69,80;78,39;74,42
1995;69,99;78,58;74,59
1996;70,14;78,82;74,81
1997;70,22;78,97;74,92
1998;70,56;79,25;75,24
1999;70,66;79,43;75,38
2000;70,73;79,48;75,41
2001;70,90;79,72;75,63
2002;71,18;79,94;75,89
2003;71,42;80,16;76,10
2004;71,53;80,11;76,09
2005;71,91;80,33;76,39
2006;72,18;80,43;76,55
2007;72,49;80,58;76,75
2008;72,89;80,78;77,06
2009;73,20;80,88;77,24
2010;73,45;80,97;77,39
2011;73,74;80,98;77,52
2012;74,21;81,30;77,90
2013;74,55;81,38;78,10
2014;74,71;81,40;78,14
2015;75,06;81,64;78,44
2016;75,19;81,53;78,41
2017;75,68;81,83;78,81
2018;75,86;81,91;78,93
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 16:58:45
