GENESIS-Tabelle: 12621-0002
Durchschnittliche Lebenserwartung (Periodensterbetafel):;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche Lebenserwartung [e(x)] (Jahre);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991/93;1992/94;1993/95;1994/96;1995/97;1996/98;1997/99;1998/00;1999/01;2000/02;2001/03;2002/04;2003/05;2004/06;2005/07;2006/08;2007/09;2008/10;2009/11;2010/12;2011/13;2012/14;2013/15;2014/16;2015/17;2016/18
männlich;0 Jahre;72,47;72,77;72,99;73,29;73,62;74,04;74,44;74,78;75,11;75,38;75,59;75,89;76,21;76,64;76,89;77,17;77,33;77,51;77,72;77,72;77,90;78,13;78,18;78,31;78,36;78,48
männlich;1 Jahr;71,97;72,25;72,44;72,72;73,04;73,44;73,83;74,15;74,48;74,72;74,94;75,24;75,56;75,97;76,22;76,49;76,65;76,81;77,02;77,01;77,19;77,40;77,45;77,59;77,64;77,76
männlich;2 Jahre;71,02;71,29;71,48;71,76;72,08;72,47;72,86;73,19;73,51;73,75;73,98;74,27;74,58;75,00;75,25;75,51;75,67;75,83;76,04;76,03;76,21;76,42;76,48;76,61;76,66;76,78
männlich;3 Jahre;70,05;70,32;70,51;70,79;71,10;71,49;71,88;72,21;72,53;72,77;72,99;73,29;73,60;74,01;74,27;74,53;74,69;74,85;75,06;75,05;75,23;75,43;75,49;75,62;75,67;75,79
männlich;4 Jahre;69,07;69,34;69,53;69,80;70,12;70,51;70,90;71,22;71,55;71,79;72,01;72,30;72,61;73,02;73,28;73,54;73,70;73,86;74,07;74,06;74,24;74,44;74,50;74,63;74,68;74,80
männlich;5 Jahre;68,09;68,36;68,55;68,82;69,13;69,52;69,91;70,24;70,56;70,80;71,02;71,31;71,62;72,03;72,29;72,55;72,71;72,87;73,08;73,07;73,24;73,45;73,51;73,64;73,69;73,81
männlich;6 Jahre;67,10;67,37;67,56;67,83;68,14;68,53;68,92;69,25;69,57;69,81;70,03;70,32;70,63;71,04;71,30;71,56;71,72;71,88;72,09;72,07;72,25;72,46;72,51;72,65;72,69;72,82
männlich;7 Jahre;66,12;66,38;66,57;66,84;67,15;67,54;67,93;68,26;68,58;68,82;69,04;69,33;69,64;70,05;70,31;70,56;70,73;70,89;71,09;71,08;71,26;71,47;71,52;71,65;71,70;71,82
männlich;8 Jahre;65,13;65,40;65,58;65,86;66,16;66,55;66,94;67,26;67,59;67,82;68,05;68,34;68,65;69,06;69,31;69,57;69,73;69,89;70,10;70,09;70,26;70,47;70,52;70,66;70,71;70,83
männlich;9 Jahre;64,14;64,41;64,59;64,86;65,17;65,56;65,95;66,27;66,59;66,83;67,05;67,34;67,66;68,07;68,32;68,58;68,74;68,90;69,11;69,09;69,27;69,48;69,53;69,66;69,71;69,84
männlich;10 Jahre;63,16;63,42;63,60;63,87;64,18;64,57;64,96;65,28;65,60;65,84;66,06;66,35;66,66;67,07;67,33;67,58;67,75;67,90;68,11;68,10;68,28;68,49;68,54;68,67;68,72;68,84
männlich;11 Jahre;62,17;62,43;62,61;62,88;63,19;63,58;63,97;64,29;64,61;64,85;65,07;65,36;65,67;66,08;66,33;66,59;66,75;66,91;67,12;67,11;67,28;67,49;67,54;67,68;67,72;67,85
männlich;12 Jahre;61,18;61,44;61,63;61,89;62,20;62,59;62,98;63,30;63,62;63,85;64,08;64,37;64,68;65,08;65,34;65,60;65,76;65,91;66,12;66,11;66,29;66,50;66,55;66,68;66,73;66,85
männlich;13 Jahre;60,19;60,45;60,64;60,90;61,21;61,60;61,99;62,31;62,63;62,86;63,09;63,37;63,69;64,09;64,35;64,60;64,77;64,92;65,13;65,12;65,30;65,50;65,55;65,69;65,73;65,86
männlich;14 Jahre;59,20;59,46;59,65;59,91;60,22;60,61;61,00;61,32;61,64;61,87;62,10;62,38;62,69;63,10;63,36;63,61;63,77;63,93;64,14;64,13;64,30;64,51;64,56;64,69;64,74;64,86
männlich;15 Jahre;58,22;58,48;58,66;58,93;59,24;59,62;60,01;60,33;60,65;60,89;61,11;61,39;61,71;62,11;62,36;62,62;62,78;62,94;63,15;63,14;63,31;63,52;63,57;63,70;63,75;63,87
männlich;16 Jahre;57,24;57,50;57,68;57,95;58,25;58,64;59,03;59,35;59,67;59,90;60,12;60,41;60,72;61,12;61,38;61,63;61,79;61,95;62,16;62,15;62,32;62,53;62,58;62,71;62,75;62,88
männlich;17 Jahre;56,27;56,53;56,71;56,98;57,28;57,67;58,06;58,37;58,69;58,93;59,15;59,43;59,74;60,14;60,40;60,65;60,81;60,97;61,17;61,16;61,34;61,54;61,59;61,73;61,77;61,90
männlich;18 Jahre;55,31;55,57;55,75;56,02;56,32;56,70;57,09;57,41;57,73;57,96;58,18;58,46;58,77;59,17;59,42;59,67;59,83;59,99;60,20;60,18;60,36;60,56;60,61;60,74;60,79;60,91
männlich;19 Jahre;54,37;54,62;54,81;55,08;55,38;55,76;56,15;56,46;56,78;57,01;57,22;57,50;57,81;58,21;58,45;58,71;58,87;59,02;59,22;59,21;59,38;59,59;59,63;59,77;59,81;59,94
männlich;20 Jahre;53,43;53,69;53,87;54,14;54,44;54,82;55,21;55,52;55,83;56,06;56,27;56,55;56,85;57,24;57,49;57,74;57,90;58,05;58,25;58,24;58,41;58,61;58,66;58,79;58,83;58,96
männlich;21 Jahre;52,49;52,75;52,93;53,19;53,50;53,88;54,26;54,57;54,89;55,11;55,32;55,59;55,89;56,28;56,53;56,78;56,93;57,08;57,28;57,27;57,44;57,64;57,68;57,82;57,86;57,99
männlich;22 Jahre;51,55;51,80;51,99;52,25;52,55;52,93;53,31;53,62;53,94;54,16;54,37;54,64;54,93;55,32;55,56;55,81;55,96;56,11;56,31;56,30;56,47;56,67;56,71;56,84;56,88;57,01
männlich;23 Jahre;50,60;50,86;51,04;51,30;51,60;51,98;52,36;52,67;52,98;53,20;53,41;53,68;53,97;54,35;54,59;54,84;54,99;55,14;55,34;55,34;55,50;55,69;55,73;55,87;55,91;56,03
männlich;24 Jahre;49,66;49,91;50,09;50,35;50,65;51,03;51,41;51,72;52,03;52,25;52,45;52,72;53,00;53,39;53,63;53,87;54,02;54,17;54,37;54,37;54,53;54,72;54,76;54,89;54,93;55,06
