GENESIS-Tabelle: 21341-0003
Professoren: Deutschland, Jahre, Fächergruppen, Geschlecht;;;;;;;;;;;
Statistik des Hochschulpersonals;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Professoren (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Geisteswissenschaften;männlich;3932;3987;3961;4010;4038;4031;2941;2920;2919;2892
Geisteswissenschaften;weiblich;1817;2026;2129;2206;2315;2418;1655;1711;1754;1797
Geisteswissenschaften;Insgesamt;5749;6013;6090;6216;6353;6449;4596;4631;4673;4689
Sport;männlich;200;178;190;201;209;202;198;213;208;209
Sport;weiblich;29;42;47;45;50;54;59;58;59;65
Sport;Insgesamt;229;220;237;246;259;256;257;271;267;274
Rechts-, Wirtschafts- und Sozialwissenschaften;männlich;7367;7626;7883;8026;8237;8355;9557;9575;9812;9927
Rechts-, Wirtschafts- und Sozialwissenschaften;weiblich;1972;2134;2314;2455;2659;2830;3829;3984;4193;4369
Rechts-, Wirtschafts- und Sozialwissenschaften;Insgesamt;9339;9760;10197;10481;10896;11185;13386;13559;14005;14296
Mathematik, Naturwissenschaften;männlich;7251;7354;7508;7549;7617;7628;5302;5248;5208;5179
Mathematik, Naturwissenschaften;weiblich;1018;1107;1204;1255;1344;1398;1115;1147;1212;1239
Mathematik, Naturwissenschaften;Insgesamt;8269;8461;8712;8804;8961;9026;6417;6395;6420;6418
Humanmedizin/Gesundheitswissenschaften;männlich;2799;2759;2998;3025;3058;3063;3057;3178;3234;3295
Humanmedizin/Gesundheitswissenschaften;weiblich;430;493;571;616;684;726;791;864;924;1023
Humanmedizin/Gesundheitswissenschaften;Insgesamt;3229;3252;3569;3641;3742;3789;3848;4042;4158;4318
Veterinärmedizin;männlich;147;145;139;140;134;135;-;-;-;-
Veterinärmedizin;weiblich;33;32;36;43;44;45;-;-;-;-
Veterinärmedizin;Insgesamt;180;177;175;183;178;180;-;-;-;-
Agrar-, Forst- und Ernährungswissenschaften;männlich;784;807;807;787;784;765;-;-;-;-
Agrar-, Forst- und Ernährungswissenschaften;weiblich;181;204;213;222;235;243;-;-;-;-
Agrar-, Forst- und Ernährungswissenschaften;Insgesamt;965;1011;1020;1009;1019;1008;-;-;-;-
Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;männlich;-;-;-;-;-;-;878;891;886;886
Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;weiblich;-;-;-;-;-;-;287;311;316;336
Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;Insgesamt;-;-;-;-;-;-;1165;1202;1202;1222
Ingenieurwissenschaften;männlich;7401;7695;7909;8162;8335;8432;10794;10806;10832;10836
Ingenieurwissenschaften;weiblich;705;763;824;909;981;1031;1422;1491;1554;1604
Ingenieurwissenschaften;Insgesamt;8106;8458;8733;9071;9316;9463;12216;12297;12386;12440
Kunst, Kunstwissenschaft;männlich;2462;2497;2531;2527;2550;2545;2526;2501;2498;2475
Kunst, Kunstwissenschaft;weiblich;977;1012;1044;1056;1104;1138;1180;1201;1236;1278
Kunst, Kunstwissenschaft;Insgesamt;3439;3509;3575;3583;3654;3683;3706;3702;3734;3753
Zentr.Einrichtungen (o. klinikspez. Einrichtungen);männlich;489;453;462;468;452;513;540;528;506;484
Zentr.Einrichtungen (o. klinikspez. Einrichtungen);weiblich;132;127;140;146;167;176;187;182;187;184
Zentr.Einrichtungen (o. klinikspez. Einrichtungen);Insgesamt;621;580;602;614;619;689;727;710;693;668
Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);männlich;33;16;10;10;12;18;16;20;23;26
Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);weiblich;6;5;4;4;4;3;10;6;7;7
Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);Insgesamt;39;21;14;14;16;21;26;26;30;33
Insgesamt;männlich;32865;33517;34398;34905;35426;35687;35809;35880;36126;36209
Insgesamt;weiblich;7300;7945;8526;8957;9587;10062;10535;10955;11442;11902
Insgesamt;Insgesamt;40165;41462;42924;43862;45013;45749;46344;46835;47568;48111
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 17:04:27
