GENESIS-Tabelle: 21611-0111
Öffentlich geförderte Theaterunternehmen, Spielstätten,;;;;;;;;;;;;;;;;;;;;;
Veranstaltungen am Ort, Theaterbesuche: Bundesländer, Jahre;;;;;;;;;;;;;;;;;;;;;
Kulturstatistik;;;;;;;;;;;;;;;;;;;;;
;;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Baden-Württemberg;Öffentlich geförderte Theaterunternehmen;Anzahl;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;15
Baden-Württemberg;Spielstätten;Anzahl;86;94;83;85;87;94;94;99;98;103;103;110;103;103;100;100;98;103;105
Baden-Württemberg;Veranstaltungen am Ort;Anzahl;6951;6997;7319;7854;7970;8087;7458;7938;7993;7947;8082;8121;8209;8141;8440;8046;7768;7542;7834
Baden-Württemberg;Theaterbesuche;1000;2349;2374;2325;2308;2365;2352;2233;2265;2241;2263;2240;2244;2175;2202;2261;2231;2203;2126;2112
Bayern;Öffentlich geförderte Theaterunternehmen;Anzahl;19;19;19;20;20;21;20;20;20;20;20;20;20;20;21;21;21;21;21
Bayern;Spielstätten;Anzahl;82;78;85;92;91;91;100;103;104;108;107;116;106;99;108;108;103;114;102
Bayern;Veranstaltungen am Ort;Anzahl;6284;6749;6861;6851;7213;7205;7257;7185;7229;7363;7577;7535;7615;7483;7858;7703;7933;7828;7957
Bayern;Theaterbesuche;1000;2594;2716;2626;2748;2775;2669;2603;2661;2648;2665;2711;2706;2629;2630;2649;2708;2683;2590;2615
Berlin;Öffentlich geförderte Theaterunternehmen;Anzahl;9;9;9;9;8;9;9;9;9;9;9;10;10;10;10;10;10;9;10
Berlin;Spielstätten;Anzahl;34;31;30;31;28;29;30;30;30;30;29;32;38;40;42;41;37;35;37
Berlin;Veranstaltungen am Ort;Anzahl;3895;3718;3782;4001;3310;3347;3476;3707;3650;3527;3369;4575;4449;3959;3829;4540;4638;3908;3897
Berlin;Theaterbesuche;1000;1970;1974;1853;1867;1656;1586;1556;1566;1615;1697;1592;1701;1755;1716;1814;1791;1768;1694;1731
Brandenburg;Öffentlich geförderte Theaterunternehmen;Anzahl;8;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6
Brandenburg;Spielstätten;Anzahl;31;26;25;26;28;27;29;32;31;32;29;28;29;29;28;29;29;29;28
Brandenburg;Veranstaltungen am Ort;Anzahl;2996;2332;2198;2115;2064;2113;2234;2257;2150;2099;2189;2289;2340;2290;2369;2305;2276;2229;2186
Brandenburg;Theaterbesuche;1000;442;414;396;400;386;382;391;396;415;415;411;427;442;421;439;415;446;423;420
Bremen;Öffentlich geförderte Theaterunternehmen;Anzahl;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Bremen;Spielstätten;Anzahl;13;14;9;11;11;13;13;12;11;11;12;12;14;11;12;12;12;12;12
Bremen;Veranstaltungen am Ort;Anzahl;997;934;991;1224;1109;1141;1212;1231;1251;1143;1079;1304;1545;1898;1608;1516;1493;1563;1601
Bremen;Theaterbesuche;1000;356;325;358;506;333;356;333;331;339;425;318;285;306;286;297;293;279;306;300
Hamburg;Öffentlich geförderte Theaterunternehmen;Anzahl;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Hamburg;Spielstätten;Anzahl;13;12;11;11;10;10;12;11;11;11;11;11;10;11;13;12;11;11;11
Hamburg;Veranstaltungen am Ort;Anzahl;1637;1609;1632;1690;1632;1818;1762;1825;1938;1958;1778;1788;1792;1629;1688;1800;1733;1641;1511
Hamburg;Theaterbesuche;1000;848;755;785;795;846;848;813;878;871;922;861;879;868;798;781;834;822;789;773
Hessen;Öffentlich geförderte Theaterunternehmen;Anzahl;8;8;8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Hessen;Spielstätten;Anzahl;43;45;45;42;42;37;43;52;36;41;47;52;51;47;49;44;48;48;44
Hessen;Veranstaltungen am Ort;Anzahl;3608;3556;3463;3749;3919;3502;3681;3793;3354;3935;3770;3847;4007;3796;3928;3792;3741;3920;3734
Hessen;Theaterbesuche;1000;1103;973;1015;1021;1076;1114;1076;1165;1131;1255;1274;1261;1284;1276;1306;1250;1271;1259;1206
Mecklenburg-Vorpommern;Öffentlich geförderte Theaterunternehmen;Anzahl;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;6;5;5
Mecklenburg-Vorpommern;Spielstätten;Anzahl;50;53;53;53;47;41;49;58;65;64;74;59;49;54;50;49;48;52;47
Mecklenburg-Vorpommern;Veranstaltungen am Ort;Anzahl;2968;3361;3198;3177;3014;2615;2300;2738;3315;3385;2836;3542;2503;3362;3440;3367;3194;3090;3076
Mecklenburg-Vorpommern;Theaterbesuche;1000;576;674;613;636;612;535;438;465;638;661;556;615;432;575;619;618;589;583;558
Niedersachsen;Öffentlich geförderte Theaterunternehmen;Anzahl;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9
Niedersachsen;Spielstätten;Anzahl;49;50;54;47;44;53;53;51;57;50;54;53;56;52;53;48;47;47;45
Niedersachsen;Veranstaltungen am Ort;Anzahl;4619;4466;4699;4959;4871;5235;5208;5201;6076;5193;5323;5282;5394;5146;5426;5325;5429;5432;5343
Niedersachsen;Theaterbesuche;1000;1429;1416;1358;1424;1467;1483;1461;1462;1426;1430;1367;1340;1343;1272;1386;1316;1297;1324;1298
Nordrhein-Westfalen;Öffentlich geförderte Theaterunternehmen;Anzahl;26;26;27;26;26;25;25;25;24;26;26;26;26;26;26;26;26;25;25
Nordrhein-Westfalen;Spielstätten;Anzahl;111;108;112;112;121;125;134;136;136;146;152;165;132;139;132;132;135;128;131
Nordrhein-Westfalen;Veranstaltungen am Ort;Anzahl;9628;9532;9661;9904;9653;9464;9342;9423;9260;10011;9903;9910;9482;9743;9649;9925;9784;9784;9690
Nordrhein-Westfalen;Theaterbesuche;1000;3440;3415;3288;3449;3215;3107;3191;3142;3149;3176;3160;3108;3061;3120;3051;3077;3016;2864;2814
Rheinland-Pfalz;Öffentlich geförderte Theaterunternehmen;Anzahl;5;5;5;5;5;5;5;5;5;5;5;5;7;6;6;6;7;7;7
Rheinland-Pfalz;Spielstätten;Anzahl;15;14;16;17;18;21;19;20;19;21;21;20;26;24;25;29;34;34;32
Rheinland-Pfalz;Veranstaltungen am Ort;Anzahl;1706;1726;1719;1755;1750;1636;1747;1732;1777;1792;1930;1960;2284;2019;2008;2047;2415;2371;2339
Rheinland-Pfalz;Theaterbesuche;1000;561;587;599;602;582;577;541;549;556;523;509;521;614;533;543;537;612;599;590
Saarland;Öffentlich geförderte Theaterunternehmen;Anzahl;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Saarland;Spielstätten;Anzahl;5;5;5;5;5;5;4;4;4;5;5;5;5;9;6;5;5;5;5
Saarland;Veranstaltungen am Ort;Anzahl;595;587;585;609;580;598;433;493;511;535;536;530;537;554;573;563;553;499;522
Saarland;Theaterbesuche;1000;231;239;208;240;216;211;193;181;186;187;196;183;203;184;178;192;193;186;201
Sachsen;Öffentlich geförderte Theaterunternehmen;Anzahl;17;15;15;15;15;15;15;15;15;15;15;14;15;15;14;14;14;14;14
Sachsen;Spielstätten;Anzahl;64;65;65;71;66;74;72;76;73;94;75;79;81;79;79;80;80;91;81
Sachsen;Veranstaltungen am Ort;Anzahl;7104;7194;7023;6951;7394;7251;7216;7252;6779;7505;7110;7722;7479;7003;7534;7419;7187;7135;6946
Sachsen;Theaterbesuche;1000;1890;1901;1910;1736;1998;1952;1950;1890;1826;1818;1717;1854;1836;1780;1967;1911;1913;1881;1776
Sachsen-Anhalt;Öffentlich geförderte Theaterunternehmen;Anzahl;14;14;14;13;12;11;10;10;10;11;8;8;8;8;8;8;8;8;8
Sachsen-Anhalt;Spielstätten;Anzahl;68;68;66;78;70;71;72;67;71;94;65;65;64;59;59;59;61;63;62
Sachsen-Anhalt;Veranstaltungen am Ort;Anzahl;5091;4692;4264;4307;3769;3476;3589;3700;4323;4199;4123;3997;4367;3657;4405;3937;3900;3750;3751
Sachsen-Anhalt;Theaterbesuche;1000;749;700;663;631;607;599;576;583;666;657;627;645;682;635;691;702;701;677;659
Schleswig-Holstein;Öffentlich geförderte Theaterunternehmen;Anzahl;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Schleswig-Holstein;Spielstätten;Anzahl;19;21;18;19;27;20;20;20;19;21;22;25;22;22;21;20;20;20;19
Schleswig-Holstein;Veranstaltungen am Ort;Anzahl;1756;1970;1768;1841;2049;1844;1913;1958;2008;1944;1942;2015;1856;1914;1627;1885;1963;1952;1906
Schleswig-Holstein;Theaterbesuche;1000;566;530;505;516;533;523;522;497;533;538;519;541;511;521;434;519;532;512;514
Thüringen;Öffentlich geförderte Theaterunternehmen;Anzahl;7;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Thüringen;Spielstätten;Anzahl;48;44;44;47;49;44;49;55;59;57;60;58;53;47;48;46;47;46;46
Thüringen;Veranstaltungen am Ort;Anzahl;3804;3241;3328;3472;3367;3091;3138;3108;3093;2972;3361;3338;3345;3203;3313;3303;3250;3150;3063
Thüringen;Theaterbesuche;1000;853;730;786;800;742;723;732;753;766;707;767;708;724;711;721;749;753;716;751
__________
